04-27-2016,02:52:41,Alarm Armed
04-27-2016,02:56:21,Alarm Disarmed
04-27-2016,02:56:27,Alarm Armed
04-27-2016,02:56:30,Alarm Disarmed
04-27-2016,02:57:12,Alarm Armed
04-27-2016,02:57:14,Alarm Disarmed
04-27-2016,02:57:15,Alarm Armed
04-27-2016,02:57:16,Alarm Disarmed
04-27-2016,02:57:23,Alarm Armed
04-27-2016,02:57:27,Alarm Disarmed
04-27-2016,02:57:29,Alarm Armed
04-27-2016,02:57:31,Alarm Disarmed
04-27-2016,02:57:33,Alarm Armed
04-27-2016,02:57:34,Alarm Disarmed
04-27-2016,02:57:36,Alarm Armed
04-27-2016,02:57:37,Alarm Disarmed
04-27-2016,02:57:40,Alarm Armed
04-27-2016,02:57:41,Alarm Disarmed
04-27-2016,02:57:43,Alarm Armed
04-27-2016,02:57:48,Alarm Triggered
04-27-2016,02:57:51,Alarm Disarmed
04-27-2016,02:59:40,Alarm Armed
04-27-2016,02:59:41,Alarm Disarmed
04-27-2016,02:59:41,Alarm Armed
04-27-2016,02:59:41,Alarm Disarmed
04-27-2016,02:59:41,Alarm Armed
04-27-2016,02:59:42,Alarm Disarmed
04-27-2016,02:59:43,Alarm Armed
04-27-2016,02:59:43,Alarm Disarmed
04-27-2016,02:59:43,Alarm Armed
04-27-2016,02:59:43,Alarm Disarmed
04-27-2016,02:59:44,Alarm Armed
04-27-2016,02:59:48,Alarm Disarmed
04-27-2016,02:59:49,Alarm Armed
04-27-2016,02:59:50,Alarm Disarmed
04-27-2016,02:59:51,Alarm Armed
04-27-2016,02:59:52,Alarm Disarmed
04-27-2016,02:59:52,Alarm Armed
04-27-2016,02:59:53,Alarm Disarmed
04-27-2016,02:59:54,Alarm Armed
04-27-2016,02:59:55,Alarm Disarmed
04-27-2016,02:59:56,Alarm Armed
04-27-2016,02:59:58,Alarm Disarmed
04-27-2016,02:59:58,Alarm Armed
04-27-2016,03:00:00,Alarm Disarmed
04-27-2016,03:00:02,Alarm Armed
04-27-2016,03:00:03,Alarm Disarmed
04-27-2016,03:00:05,Alarm Armed
04-27-2016,03:00:06,Alarm Disarmed
04-27-2016,03:00:07,Alarm Armed
04-27-2016,03:00:13,Alarm Disarmed
04-27-2016,03:00:14,Alarm Armed
04-27-2016,03:00:16,Alarm Disarmed
04-27-2016,03:00:17,Alarm Armed
04-27-2016,03:00:18,Alarm Disarmed
04-27-2016,03:00:19,Alarm Armed
04-27-2016,03:00:20,Alarm Disarmed
04-27-2016,03:00:21,Alarm Armed
04-27-2016,03:00:22,Alarm Disarmed
04-27-2016,03:00:22,Alarm Armed
04-27-2016,03:00:24,Alarm Disarmed
04-27-2016,03:00:24,Alarm Armed
04-27-2016,03:00:30,Alarm Disarmed
04-27-2016,03:00:30,Alarm Armed
04-27-2016,03:00:32,Alarm Disarmed
04-27-2016,03:00:33,Alarm Armed
04-27-2016,03:00:33,Alarm Disarmed
04-27-2016,03:00:34,Alarm Armed
04-27-2016,03:00:34,Alarm Disarmed
04-27-2016,03:00:35,Alarm Armed
04-27-2016,03:00:35,Alarm Disarmed
04-27-2016,03:00:36,Alarm Armed
04-27-2016,03:00:36,Alarm Disarmed
04-27-2016,03:00:37,Alarm Armed
04-27-2016,03:00:37,Alarm Disarmed
04-27-2016,03:00:38,Alarm Armed
04-27-2016,03:00:38,Alarm Disarmed
04-27-2016,03:00:39,Alarm Armed
04-27-2016,03:00:39,Alarm Disarmed
04-27-2016,03:00:40,Alarm Armed
04-27-2016,03:00:40,Alarm Disarmed
04-27-2016,03:00:41,Alarm Armed
04-27-2016,03:00:41,Alarm Disarmed
04-27-2016,03:00:42,Alarm Armed
04-27-2016,03:00:42,Alarm Disarmed
04-27-2016,03:00:43,Alarm Armed
04-27-2016,03:00:43,Alarm Disarmed
04-27-2016,03:00:44,Alarm Armed
04-27-2016,03:00:44,Alarm Disarmed
04-27-2016,03:00:45,Alarm Armed
04-27-2016,03:00:45,Alarm Disarmed
04-27-2016,03:00:46,Alarm Armed
04-27-2016,03:00:46,Alarm Disarmed
04-27-2016,03:00:47,Alarm Armed
04-27-2016,03:00:47,Alarm Disarmed
04-27-2016,03:00:48,Alarm Armed
04-27-2016,03:00:48,Alarm Disarmed
04-27-2016,03:00:49,Alarm Armed
04-27-2016,03:00:49,Alarm Disarmed
04-27-2016,03:00:50,Alarm Armed
04-27-2016,03:00:50,Alarm Disarmed
04-27-2016,03:00:51,Alarm Armed
04-27-2016,03:00:51,Alarm Disarmed
04-27-2016,03:00:52,Alarm Armed
04-27-2016,03:06:47,Alarm Disarmed
